key,no,question_key,subject,answer,rater_1,rater_2,rater_3,rater_4,rater_5
std-kuis-1,1,kuis-1,kuis,"1. Veracity Truth Is the level of truth of Big Data, whether the data contained is truly clean and accurate or not. The truth of the data is equivalent to the quality of the data. 2. Value Value Is the level of value of Big Data, whether the data contained truly has value or not. Many data in Big Data are high-value data and of course must have special procedures to be able to access them.",5,5,5,5,5
std-kuis-2,2,kuis-1,kuis,"Two other characteristics are: a. Veracity, big data has vulnerabilities in terms of accuracy and validity so that it requires in-depth analysis. b. Value, big data has a very high value if processed in an appropriate manner. Reference: Prayogo, C., 2019, What is Big Data https:www.wartaekonomi.co.idread261904what-is-big-data, accessed on May 7, 2021.",5,5,5,5,5
std-kuis-3,3,kuis-1,kuis,"Veracity means that big data has vulnerabilities in terms of accuracy and validity, so it requires depth to analyze big data in order to produce the right decision. Veracity refers to how accurate and reliable a data is. Value means that big data has a very high value if it is processed in the right way. Or it can also be said how valuable or meaningful a data is.",5,5,5,5,5
std-kuis-4,4,kuis-1,kuis,"Veracity means that big data has vulnerabilities in terms of accuracy and validity, so it requires depth to analyze big data in order to produce the right decision. Value means that big data has a very high value if processed in an appropriate way.",5,5,5,5,5
std-kuis-5,5,kuis-1,kuis,"Veracity: In this context it is equivalent to quality. We have all the data, but is the data correct, can there be any data missed, is the data clean and accurate, do they really have something to offer. so this veracity is the truth of the data we get. Value: The value of the data we get to run what we want to run like a business.",5,4,5,4,5
std-kuis-6,6,kuis-1,kuis,1. Value is valuable and meaningful: big data has a very high value if processed in the right way. 2. Veracity is accurate: big data has vulnerabilities in terms of accuracy and validity so that it requires depth to analyze big data in order to produce the right decision.,5,4,5,5,5
std-kuis-7,7,kuis-1,kuis,"2V besides Variety, Velocity, and Volume are V and Value. 1. Veracity. Big Data has vulnerabilities in terms of accuracy and validity so it requires depth to analyze big data in order to produce the right decision. Veracity refers to how accurate and reliable the data is. 2. Value, meaning that Big Data has a very large value if processed in the right way or can also be interpreted as how valuable the data is.",5,5,5,5,5
std-kuis-8,8,kuis-1,kuis,"1. VeracityValidity: the quality of data that is accurate, correct, and reliable so that it helps the process of making the right decision. 2. Value: the ability to change data into something valuable, impactful, or useful",5,4,5,5,5
std-kuis-9,9,kuis-1,kuis,Volume is the amount of big data that continues to grow and is continuously produced every day which is stored in digital internet format. Velocity is the speed of growth or addition of big data that cannot be controlled so that it is difficult to process the data with conventional technology. Variety is the various types of data available in big data.,1,1,1,1,1
std-kuis-10,10,kuis-1,kuis,"Visualization is very important in presenting data that can be understood more easily. Value, where data must ultimately create a value for the company or organization.",3,3,3,3,3
